4,2021/04/30 15:58:13,2,0,0,12.98,7888177822078729
4,2021/04/30 15:58:37,0,2,0,10.98,7888177822078729
4,2021/04/30 15:59:05,2,3,2,28.93,7888177822078729
4,2021/04/30 16:01:26,3,0,0,17.97,7888177822078729
123456,2021/04/30 20:54:14,2,2,1,13.95,2778245040207084
7,2021/04/30 20:55:37,1,2,1,10.96,0175802509891627
123456,2021/04/30 20:56:54,2,2,2,14.94,2778245040207084
123456,2021/04/30 21:00:06,2,0,0,8.98,2778245040207084
123456,2021/04/30 21:02:06,1,0,0,5.99,2778245040207084
4,2021/04/30 21:03:45,2,0,0,12.98,7888177822078729
234,2021/04/30 21:05:35,2,0,0,8.98,3
222222,2021/04/30 21:08:40,2,0,0,12.98,7669340734940630
222222,2021/04/30 21:09:56,0,2,0,10.98,7669340734940630
4,2021/04/30 21:10:48,2,0,0,12.98,7888177822078729
123456,2021/04/30 22:25:21,2,2,1,13.95,2778245040207084
123456,2021/04/30 22:38:04,1,1,2,6.96,2778245040207084
123456,2021/04/30 22:39:02,1,3,1,12.95,2778245040207084
123456,2021/04/30 23:02:30,2,0,0,8.98,2778245040207084
